stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0238131,,0.010317,0.0238131,0.506225,0.506225,0.506225,0.8053024,1.1528057,left,-10,1,1,0.5562017,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
1,2,8,1.1715143,,1.1529093,1.1715143,1.6553703,1.6553703,1.6553703,1.9559177,2.2420339,left,-8,1,1,0.5719163,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
2,2,6,2.2551884,,2.242123,2.2551884,2.754309,2.754309,2.754309,3.0545518,3.2403918,left,-6,1,1,0.4748454,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
3,1,4,3.2543421,,3.2404643,3.2543421,3.7378167,3.7378167,3.7378167,4.0372714,4.6230361,left,-4,0,0,0.8784635,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
4,1,5,4.6366466,,4.6231115,4.6366466,5.1365548,5.1365548,5.1365548,5.4368438,5.8575117,left,-5,1,1,0.714802,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
5,1,5,5.8701836,,5.8575851,5.8701836,6.3691191,6.3691191,6.3691191,6.6691724,7.0551611,left,-5,1,1,0.681342,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
6,1,5,7.0691247,,7.0552474,7.0691247,7.568678,7.568678,7.568678,7.8680445,8.0882002,right,5,1,1,0.5084482,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
7,1,4,8.1022117,,8.0882768,8.1022117,8.6013593,8.6013593,8.6013593,8.9010319,9.2042681,right,4,1,1,0.5999841,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
8,1,4,9.2180062,,9.2043885,9.2180062,9.7174342,9.7174342,9.7174342,10.0170408,10.3767119,left,-4,1,1,0.644736,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
9,1,4,10.3841608,,10.3768191,10.3841608,10.8835937,10.8835937,10.8835937,11.1832909,11.4366431,right,4,1,1,0.5492615,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
10,1,3,11.450118,,11.4367163,11.450118,11.949677,11.949677,11.949677,12.2491948,12.6195037,left,-3,1,1,0.657404,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
11,1,3,12.6325085,,12.6195905,12.6325085,13.1323915,13.1323915,13.1323915,13.4325096,13.8518902,left,-3,1,1,0.7145691,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
12,0,3,13.8654226,,13.851961,13.8654226,14.3648868,14.3648868,14.3648868,14.6708736,15.0184368,left,-3,0,0,0.6487537,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
13,0,3,15.0313604,,15.0185266,15.0313604,15.530873,15.530873,15.530873,15.8313046,16.6506081,left,-3,1,1,1.1174155,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
14,0,3,16.6637778,,16.6506805,16.6637778,17.1638905,17.1638905,17.1638905,17.4638178,18.0330283,left,-3,1,1,0.8559583,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
15,5,3,18.0465796,,18.0331188,18.0465796,18.5460632,18.5460632,18.5460632,18.8461587,18.9656473,right,3,1,1,0.415901,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
16,5,1,18.9792616,,18.965723,18.9792616,19.4790708,19.4790708,19.4790708,19.7790103,20.1319071,left,-1,1,1,0.6439825,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
17,5,1,20.1455195,,20.1319886,20.1455195,20.6448561,20.6448561,20.6448561,20.9452847,21.3477833,right,1,1,1,0.6937079,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
18,5,1,21.3612528,,21.3478552,21.3612528,21.8610495,21.8610495,21.8610495,22.1608379,22.5303949,left,-1,1,1,0.6535951,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
19,5,1,22.5441188,,22.5304866,22.5441188,23.0435666,23.0435666,23.0435666,23.3435028,23.7462752,left,-1,1,1,0.693763,381189,1,2024-09-10_16h28.30.209,adaptivestaricase,2024.1.5,None,2024-09-10 16h28.35.215850 +0530
