key_resp.corr,key_resp.rt,,,,,seqRT,ranRT,,,,,
1,1.9570162,,,,,1.9570162,0.298026,,,,seqRT mean ,0.307420555
1,0.8507872,,,,,0.8507872,1.4315382,,,,ranRT meam,0.950986984
1,0.6992771,,,,,0.6992771,0.9837355,,,,,
1,0.7675594,,,,,0.7675594,0.5718194,,,,difference of seqRT and ranRT mean,-0.643566429
1,1.2286437,,,,,1.2286437,0.6562357,,,,,
1,0.9284659,,,,,0.9284659,0.9214006,,,,,
1,0.7337192,,,,,0.7337192,0.7693832,,,,,
1,0.6297239,,,,,0.6297239,0.654487,,,,,
1,0.6852651,,,,,0.6852651,0.6543998,,,,,
1,0.8269036,,,,,0.8269036,0.8512796,,,,,
1,0.872505,,,,,0.872505,0.5615045,,,,,
1,0.6314182,,,,,0.6314182,0.6652496,,,,,
1,0.3045112,,,,,0.3045112,0.617948,,,,,
1,0.3370101,,,,,0.3370101,0.6210944,,,,,
1,0.1152766,,,,,0.1152766,0.5840053,,,,,
1,0.3511623,,,,,0.3511623,3.7887487,,,,,
1,0.3263784,,,,,0.3263784,0.717481,,,,,
1,0.5888066,,,,,0.5888066,0.6084344,,,,,
1,0.3290021,,,,,0.3290021,0.5414563,,,,,
1,0.1940391,,,,,0.1940391,0.9888559,,,,,
1,0.0786541,,,,,0.0786541,0.567116,,,,,
1,0.0611681,,,,,0.0611681,1.0348584,,,,,
1,0.2922505,,,,,0.2922505,0.4842628,,,,,
1,0.3159363,,,,,0.3159363,0.8135512,,,,,
1,0.1168469,,,,,0.1168469,0.9767963,,,,,
1,0.3204684,,,,,0.3204684,0.6145847,,,,,
1,0.2484333,,,,,0.2484333,0.794205,,,,,
1,0.2404154,,,,,0.2404154,0.4900645,,,,,
1,0.0929833,,,,,0.0929833,0.5381016,,,,,
1,0.3057738,,,,,0.3057738,0.5189919,,,,,
1,0.3269259,,,,,0.3269259,0.7207212,,,,,
1,0.742932,,,,,0.742932,0.7442007,,,,,
1,0.2782593,,,,,0.2782593,1.0688675,,,,,
1,0.2914969,,,,,0.2914969,0.8257092,,,,,
1,0.1698118,,,,,0.1698118,0.4210111,,,,,
1,0.4749412,,,,,0.4749412,0.7343878,,,,,
1,0.3886236,,,,,0.3886236,0.9083151,,,,,
1,0.2586788,,,,,0.2586788,0.7111487,,,,,
1,0.2414278,,,,,0.2414278,0.4384914,,,,,
1,0.3730311,,,,,0.3730311,0.6672756,,,,,
1,0.2302419,,,,,0.2302419,1.2717291,,,,,
1,0.263323,,,,,0.263323,0.7915744,,,,,
1,0.2401534,,,,,0.2401534,0.7062416,,,,,
1,0.2161463,,,,,0.2161463,0.4834325,,,,,
1,0.2466141,,,,,0.2466141,0.6693183,,,,,
